"rank_id","hit_id","assignment_id","worker_id","time","rank0","rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","trial","gen"
11,"3VZYA8PITNXBI6P8RQU696IQDP850Q","3ATPCQ38J8988RV3KW1XYTNGSIVYAK","A30V1UH00MWJU5","2017-12-02 22:34:18+00",30,18,24,17,8,9999,12,9,7,-9999,0,0
12,"3VGET1QSZZYJD04C8Q2OEL5Q50I7W9","36WLNQG78Z9FLWJ4Q9PZM1F6SOCEBH","AVHJ2SNIMGZ91","2017-12-02 22:41:57+00",9999,31,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,0
13,"3HYV4299HZVTWEN4XV0O6FUL9GKE8O","3GGAI1SQEVXW7P3NL79DATQXJC4CME","A1OU2FW26L47VV","2017-12-02 23:06:44+00",21,22,26,29,34,25,20,19,9999,-9999,2,0
14,"38EHZ67RILR61HLZXR0VB0GS61OGMV","3T111IHZ5EPL679CEVV3U2JZJE0R90","A24B2ZZJ04FNDN","2017-12-02 23:07:59+00",9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,1
15,"3UZUVSO3P6U8H3P8RWA7BXVGTL9MEK","3I02618YA05YEMH0ZEM5L36YVHMPUX","A24B2ZZJ04FNDN","2017-12-02 23:08:25+00",9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,1
16,"3I7SHAD35LVN8OAY4OW15N3Z7Y8M71","3NPI0JQDAO4JE92BZ9WVG7KWC3OPTF","A1ABFCIB4W3I39","2017-12-03 01:52:44+00",9999,57,44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,1
17,"3J06WJ78HMJ891530E08YX2FK9RVVJ","3U8YCDAGXPF3YC6Z1KNAW181KODQ0V","A1ABFCIB4W3I39","2017-12-03 01:54:18+00",9999,50,49,40,-9999,-9999,-9999,-9999,-9999,-9999,1,1
18,"360ZO6N6J0IRM7YRJLULJJU52OWM9D","3LYA37P8IQMI7WBEMV02KWSBCMIKBJ","A1Z43R9TV8VNJL","2017-12-03 01:54:49+00",45,54,48,46,9999,41,-9999,-9999,-9999,-9999,2,1
19,"3J06WJ78HMJ891530E08YX2FK9RVVJ","3S96KQ6I9M3APCZLU050GD37YKLTD5","ANN162CY5IAGN","2017-12-03 01:57:50+00",50,49,40,9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1
20,"3I7SHAD35LVN8OAY4OW15N3Z7Y8M71","3VZLGYJEYL9K9UD1RSVUW87GZYJXZR","A1NDM9R54FJMPW","2017-12-03 01:57:59+00",44,57,9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,1
21,"3I7SHAD35LVN8OAY4OW15N3Z7Y8M71","3EF8EXOTT1UMJEN42D71D5FPBLRJ10","A2UJ2GHCZO7B14","2017-12-03 01:58:26+00",44,57,9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,1
22,"3J06WJ78HMJ891530E08YX2FK9RVVJ","3WMOAN2SRBWYOGUNOPJID03M993NVX","A1NDM9R54FJMPW","2017-12-03 01:58:50+00",50,40,9999,49,-9999,-9999,-9999,-9999,-9999,-9999,1,1
23,"360ZO6N6J0IRM7YRJLULJJU52OWM9D","3X1FV8S5JXQSEOD11L6NNGUP8XIGVJ","AG8PCITDPLLKU","2017-12-03 02:07:15+00",54,48,9999,46,45,41,-9999,-9999,-9999,-9999,2,1
24,"3J06WJ78HMJ891530E08YX2FK9RVVJ","3WZ36BJEV3FHAF11G4EULNF7VZABTH","A1HS8H18KJ6OJH","2017-12-03 02:07:35+00",50,49,40,9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1
25,"360ZO6N6J0IRM7YRJLULJJU52OWM9D","3WLEIWSYHOGXHTAAXH4U6B9FQZ2H2B","A1HS8H18KJ6OJH","2017-12-03 02:08:14+00",54,48,46,9999,41,45,-9999,-9999,-9999,-9999,2,1
26,"3J06WJ78HMJ891530E08YX2FK9RVVJ","31JLPPHS2UTWUSSG5UDP9UB88ZGO3H","A3FW9NWR6TJ4M9","2017-12-03 02:19:04+00",50,49,40,9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1
27,"3JHB4BPSFJ8I7MWJBE120SEACPUQ95","3K3R2QNK8B2DMZ1TIPQ8ZD6JQDFU9I","A10VMEX3R3EML1","2017-12-03 02:43:26+00",54,48,9999,46,41,45,-9999,-9999,-9999,-9999,2,1
28,"3JHB4BPSFJ8I7MWJBE120SEACPUQ95","3MYYFCXHJ36TKBUMHP50EQUCVDN4GX","A33P1MWZTFI8RL","2017-12-03 02:49:46+00",48,9999,54,46,41,45,-9999,-9999,-9999,-9999,2,1
29,"3JHB4BPSFJ8I7MWJBE120SEACPUQ95","3LUY3GC63ZZWGB54M6TUBBSEN607PO","A2R9T5TWU2RVAL","2017-12-03 02:52:38+00",54,48,46,45,41,9999,-9999,-9999,-9999,-9999,2,1
